ID,Type,Tag
of:000000000000000c,fwd,of:000000000000000c
of:000000000000000d,fwd,of:000000000000000d
of:000000000000000a,fwd,of:000000000000000a
of:000000000000000b,fwd,of:000000000000000b
of:000000000000000e,fwd,of:000000000000000e
of:000000000000000f,fwd,of:000000000000000f
of:0000000000000010,fwd,of:0000000000000010
of:0000000000000011,fwd,of:0000000000000011
of:0000000000000003,fwd,of:0000000000000003
of:0000000000000014,fwd,of:0000000000000014
of:0000000000000004,fwd,of:0000000000000004
of:0000000000000001,fwd,of:0000000000000001
of:0000000000000012,fwd,of:0000000000000012
of:0000000000000002,fwd,of:0000000000000002
of:0000000000000013,fwd,of:0000000000000013
of:0000000000000007,fwd,of:0000000000000007
of:0000000000000008,fwd,of:0000000000000008
of:0000000000000005,fwd,of:0000000000000005
of:0000000000000006,fwd,of:0000000000000006
of:0000000000000009,fwd,of:0000000000000009
2E:84:88:F1:54:79,host,10.0.0.6
D6:0E:2A:F0:3C:0F,host,10.0.0.1
3E:18:3F:C3:5F:BF,host,10.0.0.4
22:FD:AB:B1:BB:AB,host,10.0.0.5
5A:4D:F4:FA:B9:2B,host,10.0.0.3
CA:74:2B:EF:F9:F8,host,10.0.0.2
